Technical Skills,Engineering Disciplines,Project Management,Education and Certifications,Soft Skills,Industry-Specific Terms,Experience
Python,Mechanical Engineering,Project Planning,Engineering Degree,Problem-solving,Robotics,Project Design
Java,Electrical Engineering,Budgeting, Professional Engineer (PE) Certification,Analytical Thinking,Renewable Energy,Implementation
C++,Civil Engineering,Risk Assessment, AWS Certified Solutions Architect,Attention to Detail, Automation,Optimization
Programming,Aerospace Engineering,Agile,Institute of technology,Team Collaboration,IoT,Robotics Projects
AutoCAD,Chemical Engineering,Scrum,College of Engineering,Communication Skills,Machine Learning,Renewable Energy Initiatives
SolidWorks,Industrial Engineering,Cross-functional Collaboration,,Time Management,Artificial Intelligence,Automation Projects
FEA,Systems Engineering,,,Creativity, Design,IoT Implementations
MATLAB,Environmental Engineering,,,Innovation,Biomedical Engineering,Machine Learning Projects
Data Analysis,,,,,Structural Analysis,Structural Analysis
Excel,,,,,,Design Projects
Git,,,,,,
Signal Processing,,,,,,
PLC Programming,,,,,,
PCB Design,,,,,,
